error,event_message,id,level,msg,path,status,timestamp
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""invite"",""msg"":""mailer: reloaded template type: invite"",""time"":""2026-01-14T08:44:15Z""}",bf12828e-a853-4f2e-8b8e-d307841e58cf,info,mailer: reloaded template type: invite,null,null,1768380255000000
null,"{""component"":""reloader"",""grace_period_duration"":""2s"",""level"":""info"",""msg"":""starting configuration reloader"",""notify_enabled"":true,""poller_enabled"":false,""poller_interval"":""10s"",""signal_enabled"":false,""signal_number"":10,""time"":""2026-01-14T08:44:14Z""}",c522cb05-7ce7-468d-86a8-79a59500c3e4,info,starting configuration reloader,null,null,1768380254000000
null,"{""level"":""info"",""msg"":""prometheus server listening on 0.0.0.0:9122"",""time"":""2026-01-14T08:44:14Z""}",22f54692-95ff-4f9d-bfd8-7ddd2abb3047,info,prometheus server listening on 0.0.0.0:9122,null,null,1768380254000000
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""phone_changed_notification"",""msg"":""mailer: reloaded template type: phone_changed_notification"",""time"":""2026-01-14T08:44:14Z""}",6738f5b4-159e-4852-9862-f19c06828608,info,mailer: reloaded template type: phone_changed_notification,null,null,1768380254000000
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""magic_link"",""msg"":""mailer: reloaded template type: magic_link"",""time"":""2026-01-14T08:44:14Z""}",e6b950ef-aac1-4e5b-b90b-9853f0ce2c1e,info,mailer: reloaded template type: magic_link,null,null,1768380254000000
null,"{""component"":""apiworker"",""level"":""info"",""msg"":""apiworker: db worker exited"",""time"":""2026-01-14T08:44:14Z"",""worker_type"":""apiworker_db_worker""}",0271212d-3f2e-4edd-9ec7-56d94507ad9e,info,apiworker: db worker exited,null,null,1768380254000000
context canceled,"{""component"":""api"",""error"":""context canceled"",""level"":""error"",""msg"":""config reloader is exiting"",""time"":""2026-01-14T08:44:14Z""}",e84b3c4f-e606-4144-bbfe-b91d0ba94b0a,error,config reloader is exiting,null,null,1768380254000000
null,"{""component"":""apiworker"",""config_conn_max_idle_time"":""1m0s"",""config_conn_max_lifetime"":""0s"",""config_conn_percentage"":0,""config_max_idle_pool_size"":10,""config_max_pool_size"":10,""level"":""info"",""limit_conn_max_idle_time"":""1m0s"",""limit_conn_max_lifetime"":""0s"",""limit_max_idle_conns"":10,""limit_max_open_conns"":10,""limit_strategy"":""fixed"",""msg"":""applying connection limits to db using the \""fixed\"" strategy"",""server_max_conns"":60,""time"":""2026-01-14T08:44:14Z"",""worker_type"":""apiworker_db_worker""}",63c9e522-2d79-4d6f-8c6a-f3c58ad24453,info,"applying connection limits to db using the ""fixed"" strategy",null,null,1768380254000000
null,"{""component"":""api"",""level"":""info"",""msg"":""http server closed"",""time"":""2026-01-14T08:44:14Z""}",59b6e9b6-3938-4f31-9dd9-10fc230cc6a9,info,http server closed,null,null,1768380254000000
null,"{""level"":""info"",""msg"":""GoTrue API started on: localhost:9999"",""time"":""2026-01-14T08:44:14Z"",""version"":""v2.185.0""}",a50211e9-21e4-4b5f-8cd9-c0d2346f9051,info,GoTrue API started on: localhost:9999,null,null,1768380254000000
context canceled,"{""component"":""reloader"",""error"":""context canceled"",""grace_period_duration"":""2s"",""level"":""error"",""msg"":""config reloader is exiting"",""notify_enabled"":true,""poller_enabled"":false,""poller_interval"":""10s"",""signal_enabled"":false,""signal_number"":10,""time"":""2026-01-14T08:44:14Z""}",6619f059-31eb-4c5d-9fdf-def0410785b4,error,config reloader is exiting,null,null,1768380254000000
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""identity_linked_notification"",""msg"":""mailer: reloaded template type: identity_linked_notification"",""time"":""2026-01-14T08:44:14Z""}",be11865c-ee92-478f-b9a5-77eb6a7b02ba,info,mailer: reloaded template type: identity_linked_notification,null,null,1768380254000000
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""mfa_factor_unenrolled_notification"",""msg"":""mailer: reloaded template type: mfa_factor_unenrolled_notification"",""time"":""2026-01-14T08:44:14Z""}",e4ae6955-90e8-4391-8432-18667783c8dd,info,mailer: reloaded template type: mfa_factor_unenrolled_notification,null,null,1768380254000000
null,"{""component"":""apiworker"",""level"":""info"",""msg"":""apiworker: config notifier started"",""time"":""2026-01-14T08:44:14Z"",""worker_type"":""apiworker_config_notifier""}",84b96d53-64fc-4fbf-bd09-888797e1c5cb,info,apiworker: config notifier started,null,null,1768380254000000
null,"{""level"":""info"",""msg"":""Go runtime metrics collection started"",""time"":""2026-01-14T08:44:14Z""}",c5b0b183-7a95-491e-8317-de12eec5e3fb,info,Go runtime metrics collection started,null,null,1768380254000000
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""email_changed_notification"",""msg"":""mailer: reloaded template type: email_changed_notification"",""time"":""2026-01-14T08:44:14Z""}",25097156-0631-45a3-a398-9c6207c8b9ce,info,mailer: reloaded template type: email_changed_notification,null,null,1768380254000000
null,"{""component"":""apiworker"",""level"":""info"",""msg"":""apiworker: index worker started"",""time"":""2026-01-14T08:44:14Z"",""worker_type"":""apiworker_index_worker""}",caccf6b6-fb8b-41d4-803a-c28e6c9992a2,info,apiworker: index worker started,null,null,1768380254000000
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""confirmation"",""msg"":""mailer: reloaded template type: confirmation"",""time"":""2026-01-14T08:44:14Z""}",0c2f725c-2c59-4f96-a8b5-f3ca8212d44b,info,mailer: reloaded template type: confirmation,null,null,1768380254000000
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""mfa_factor_enrolled_notification"",""msg"":""mailer: reloaded template type: mfa_factor_enrolled_notification"",""time"":""2026-01-14T08:44:14Z""}",084c3b34-26f5-4b91-b2e0-f234687be0a6,info,mailer: reloaded template type: mfa_factor_enrolled_notification,null,null,1768380254000000
context canceled,"{""component"":""apiworker"",""error"":""context canceled"",""level"":""error"",""msg"":""background apiworker is exiting"",""time"":""2026-01-14T08:44:14Z""}",0b4afb2b-88d8-49a0-b787-51ddf929b1e1,error,background apiworker is exiting,null,null,1768380254000000
null,"{""component"":""apiworker"",""level"":""info"",""msg"":""apiworker: template cache worker exited"",""time"":""2026-01-14T08:44:14Z"",""worker_type"":""apiworker_template_cache""}",7b64609a-1691-41cb-8cbe-9620e7c6b54b,info,apiworker: template cache worker exited,null,null,1768380254000000
null,"{""event"":""templatemailer_reloader_template_update"",""level"":""info"",""mail_type"":""email_change"",""msg"":""mailer: reloaded template type: email_change"",""time"":""2026-01-14T08:44:14Z""}",4f3acf66-6c60-44cf-a4af-01219e9c7450,info,mailer: reloaded template type: email_change,null,null,1768380254000000
